Godzina,Fixing I Kurs(PLN/MWh) Mean,Fixing I Kurs(PLN/MWh) Min,Fixing I Kurs(PLN/MWh) Max,Fixing I Wolumen(MWh) Mean,Fixing I Wolumen(MWh) Min,Fixing I Wolumen(MWh) Max,Fixing II Kurs(PLN/MWh) Mean,Fixing II Kurs(PLN/MWh) Min,Fixing II Kurs(PLN/MWh) Max,Fixing II Wolumen(MWh) Mean,Fixing II Wolumen(MWh) Min,Fixing II Wolumen(MWh) Max,Notowania ciągłe Kurs (PLN/MWh) Mean,Notowania ciągłe Kurs (PLN/MWh) Min,Notowania ciągłe Kurs (PLN/MWh) Max,Notowania ciągłe Wolumen (MWh) Mean,Notowania ciągłe Wolumen (MWh) Min,Notowania ciągłe Wolumen (MWh) Max
0-1,622.958,341.12,1032.35,2100.102,1287.1,3562.1,626.31,338.38,1210.26,611.048,216.7,1832.3,166.515,0.0,952.21,4.198,0.0,60.0
1-2,586.584,324.0,1009.67,2184.47,1383.9,3874.8,596.181,338.32,964.44,742.812,261.8,2141.9,169.282,0.0,945.12,8.83,0.0,166.7
2-3,572.752,310.18,1001.66,2292.838,1309.5,4008.8,585.274,329.49,957.74,769.928,269.5,2248.6,202.811,0.0,941.37,8.4,0.0,133.6
2-2a,213.395,0.0,426.79,1061.55,0.0,2123.1,236.605,0.0,473.21,197.3,0.0,394.6,0.0,0.0,0.0,0.0,0.0,0.0
3-4,575.208,295.12,1003.67,2303.982,1365.6,4159.8,584.548,310.37,953.6,738.435,276.8,2259.3,150.628,0.0,941.37,7.9,0.0,179.8
4-5,587.393,295.12,1013.66,2268.32,1390.5,4025.0,598.522,317.16,1001.05,675.715,265.2,2255.6,118.749,0.0,958.46,7.215,0.0,171.2
5-6,637.642,295.12,1104.0,2326.142,1488.6,3556.6,640.628,330.4,1008.87,559.385,284.1,1950.4,109.301,0.0,951.87,1.3,0.0,15.0
6-7,760.396,255.0,1450.0,3056.998,1490.9,4417.0,754.254,348.17,1234.14,628.89,250.2,1348.6,184.874,0.0,1199.98,2.275,0.0,50.0
7-8,790.597,265.76,1599.93,2435.495,1481.1,3388.7,784.921,371.37,1438.57,600.005,266.3,1238.2,160.904,0.0,1306.92,6.25,0.0,96.4
8-9,808.522,305.0,1491.77,2505.638,1531.3,3402.3,788.574,401.59,1337.35,565.018,300.2,1110.1,191.456,0.0,1491.77,10.09,0.0,233.2
9-10,738.827,306.27,1280.0,2510.535,1568.9,3381.6,728.723,371.59,1196.11,555.328,279.8,1288.7,137.06,0.0,1280.0,4.12,0.0,92.8
10-11,652.215,306.27,1041.57,2723.998,1561.4,3870.5,647.362,345.65,1015.61,581.62,297.2,1772.7,84.26,0.0,915.0,0.965,0.0,12.3
11-12,616.906,300.12,1011.44,2871.77,1685.4,4337.9,617.956,339.41,1007.52,570.6,223.6,2076.6,121.605,0.0,900.0,4.37,0.0,132.0
12-13,596.559,305.0,1010.92,2882.935,1877.5,4485.7,588.319,287.13,1009.64,611.192,224.9,2545.7,128.534,0.0,900.0,9.095,0.0,130.0
13-14,596.638,300.12,1003.67,2763.158,1852.6,4438.6,586.855,277.98,1005.69,621.658,276.3,2519.1,98.374,0.0,880.0,7.522,0.0,131.0
14-15,612.859,301.0,1017.57,2596.738,1787.5,4275.0,602.048,268.9,1009.14,599.34,289.9,2265.5,97.795,0.0,878.0,6.26,0.0,141.6
15-16,667.707,314.47,1067.77,2426.335,1525.9,3540.8,662.621,314.27,1012.25,580.435,267.5,1888.4,114.917,0.0,878.0,5.432,0.0,64.3
16-17,761.857,341.12,1120.0,2360.038,1286.9,3222.0,757.463,448.31,1029.37,566.36,271.4,1433.8,122.764,0.0,899.0,0.753,0.0,10.0
17-18,842.824,381.42,1269.0,2643.152,1649.9,3617.1,836.822,395.79,1244.15,620.665,317.5,1191.0,134.055,0.0,948.0,3.182,0.0,50.0
18-19,928.409,451.0,1449.98,3106.59,1589.4,4065.0,904.43,399.18,1364.98,682.85,353.3,1210.0,228.932,0.0,1446.47,2.142,0.0,37.2
19-20,1011.231,585.01,1725.63,3400.018,1485.8,4536.8,977.203,500.53,1731.05,719.455,333.3,1385.5,318.567,0.0,1716.16,1.988,0.0,15.0
20-21,910.361,500.91,1559.78,3065.053,1328.6,4363.4,881.799,444.36,1561.01,691.678,301.3,1148.6,222.026,0.0,1559.78,2.045,0.0,28.7
21-22,746.497,399.9,1186.98,2449.988,1339.9,3329.8,738.488,349.44,1176.63,609.345,311.3,1236.8,147.87,0.0,1186.98,2.165,0.0,35.0
22-23,711.415,375.0,1041.5,2744.888,1676.9,4036.2,698.208,349.73,1036.28,655.108,291.8,1153.0,121.74,0.0,1041.5,3.028,0.0,51.0
23-24,608.524,311.22,938.64,2368.148,1445.6,3487.2,619.065,352.64,1003.01,525.488,215.8,853.2,132.776,0.0,850.0,2.542,0.0,21.9
